              Procedure           Image            Address        Calls Instructions
         GdiplusStartup C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.0.6001.18065_none_9e7abe2ec9c13222\gdiplus.dll           74147599            0          114
  GdipSetWorldTransform C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.0.6001.18065_none_9e7abe2ec9c13222\gdiplus.dll           74147132            0          261
 unnamedImageEntryPoint C:\Program Files\Windows Live\Messenger\fsshext.8.5.1302.1018.dll           5a50f4bb            2         8416
    DllUnregisterServer C:\Program Files\Windows Live\Messenger\fsshext.8.5.1302.1018.dll           5a50c47f            0         5766
      DllGetClassObject C:\Program Files\Windows Live\Messenger\fsshext.8.5.1302.1018.dll           5a50b811            9          290
        DllCanUnloadNow C:\Program Files\Windows Live\Messenger\fsshext.8.5.1302.1018.dll           5a509807            1         1547
                  .text C:\Program Files\Windows Live\Messenger\fsshext.8.5.1302.1018.dll           5a501000            0        19582
            NPCloseEnum C:\Windows\System32\davclnt.dll           6ebf262d            1         2132
             NPOpenEnum C:\Windows\System32\davclnt.dll           6ebf2367            1          304
         NPEnumResource C:\Windows\System32\davclnt.dll           6ebf1e2d            1          347
              NPGetCaps C:\Windows\System32\davclnt.dll           6ebf19cb            7          137
 unnamedImageEntryPoint C:\Windows\System32\davclnt.dll           6ebf165d            1          117
                DllMain C:\Windows\System32\davclnt.dll           6ebf13ed            1          114
                  .text C:\Windows\System32\davclnt.dll           6ebf1000            0          120
             NPOpenEnum C:\Windows\System32\drprov.dll           6ec317e0            1           39
              NPGetCaps C:\Windows\System32\drprov.dll           6ec317a2            7           97
 unnamedImageEntryPoint C:\Windows\System32\drprov.dll           6ec31346            1          135
                  .text C:\Windows\System32\drprov.dll           6ec31000            0          291
    I_SystemFocusDialog C:\Windows\System32\ntlanman.dll           6ec0ace1            0           24
             NPOpenEnum C:\Windows\System32\ntlanman.dll           6ec022ff            1          229
            NPCloseEnum C:\Windows\System32\ntlanman.dll           6ec020e6            1          180
         NPEnumResource C:\Windows\System32\ntlanman.dll           6ec0202a            1           58
              NPGetCaps C:\Windows\System32\ntlanman.dll           6ec01bcb            8          404
 unnamedImageEntryPoint C:\Windows\System32\ntlanman.dll           6ec016ce            1          196
                DllMain C:\Windows\System32\ntlanman.dll           6ec0154e            1          114
                  .text C:\Windows\System32\ntlanman.dll           6ec01000            0           27
      WNetEnumResourceW C:\Windows\system32\MPR.dll           75593522            2          116
          WNetCloseEnum C:\Windows\system32\MPR.dll           75593451            2           87
          WNetOpenEnumW C:\Windows\system32\MPR.dll           755932d1            2          123
        WNetLogonNotify C:\Windows\system32\MPR.dll           7559225e            0         4841
 unnamedImageEntryPoint C:\Windows\system32\MPR.dll           75591239            1          474
                  .text C:\Windows\system32\MPR.dll           75591000            0          225
 unnamedImageEntryPoint C:\Windows\system32\LINKINFO.dll           723115aa            1          122
        IsValidLinkInfo C:\Windows\system32\LINKINFO.dll           723112c1           16         6487
            Ordinal_181 C:\Windows\system32\SHDOCVW.dll           72b99685            0          222
            Ordinal_171 C:\Windows\system32\SHDOCVW.dll           72b99542            2          106
            Ordinal_180 C:\Windows\system32\SHDOCVW.dll           72b97b77            0          580
        DllCanUnloadNow C:\Windows\system32\SHDOCVW.dll           72b945c8            2           14
            Ordinal_198 C:\Windows\system32\SHDOCVW.dll           72b932d5            0            4
            Ordinal_153 C:\Windows\system32\SHDOCVW.dll           72b8fe87           25        10112
            Ordinal_189 C:\Windows\system32\SHDOCVW.dll           72b8a08c            0        18892
      DllGetClassObject C:\Windows\system32\SHDOCVW.dll           72b86c89            5         4141
 unnamedImageEntryPoint C:\Windows\system32\SHDOCVW.dll           72b85af9            1         1510
            Ordinal_174 C:\Windows\system32\SHDOCVW.dll           72b853aa            0          222
 unnamedImageEntryPoint C:\Windows\system32\slc.dll           7547c0e8            1         1306
     SLpCheckProductKey C:\Windows\system32\slc.dll           75474c09            0      1240660
SLGetWindowsInformationDWORD C:\Windows\system32\slc.dll           7546ca43            1          398
SLGetWindowsInformation C:\Windows\system32\slc.dll           7546bd01            1          290
                SLClose C:\Windows\system32\slc.dll           75451e69            0          112
                  .text C:\Windows\system32\slc.dll           75451000            0           17
 unnamedImageEntryPoint C:\Windows\system32\cscapi.dll           720c543a           39         1580
CscSearchApiGetInterface C:\Windows\system32\cscapi.dll           720c4f30            0         2983
  CscNetApiGetInterface C:\Windows\system32\cscapi.dll           720c35f4            1          566
     OfflineFilesEnable C:\Windows\system32\cscapi.dll           720c2641            0           66
                  .text C:\Windows\system32\cscapi.dll           720c1000            0          812
           NetShareEnum C:\Windows\system32\NETAPI32.dll           756a2fc4            2          168
          I_NetPathType C:\Windows\system32\NETAPI32.dll           756a1ee4            0          408
             NetUseEnum C:\Windows\system32\NETAPI32.dll           7569a4ef            1           60
NetRemoteComputerSupports C:\Windows\system32\NETAPI32.dll           7569a479            1           36
        NetWkstaGetInfo C:\Windows\system32\NETAPI32.dll           7569a3bc            2           76
  NetGetJoinInformation C:\Windows\system32\NETAPI32.dll           7569a25c            0           64
           NetpDbgPrint C:\Windows\system32\NETAPI32.dll           7569948d            1         1823
NetpAccessCheckAndAuditEx C:\Windows\system32\NETAPI32.dll           756991ba            0          113
NetpNtStatusToApiStatus C:\Windows\system32\NETAPI32.dll           75698f85           10          402
       NetApiBufferFree C:\Windows\system32\NETAPI32.dll           75698ccc            4         2479
 unnamedImageEntryPoint C:\Windows\system32\NETAPI32.dll           75694231            1          121
           NetpIsRemote C:\Windows\system32\NETAPI32.dll           75693f75            0          483
                  .text C:\Windows\system32\NETAPI32.dll           75691000            0           23
GetNetResourceFromLocalPathW C:\Windows\system32\ntshrui.dll           68da4afe            0          199
          IsPathSharedW C:\Windows\system32\ntshrui.dll           68da473a           69         1344
 unnamedImageEntryPoint C:\Windows\system32\ntshrui.dll           68da382d            1         2234
      DllGetClassObject C:\Windows\system32\ntshrui.dll           68da1be7           52        50310
        DllCanUnloadNow C:\Windows\system32\ntshrui.dll           68da170d            3        40066
                  .orpc C:\Windows\System32\actxprxy.dll           7214d000            0        28994
      DllGetClassObject C:\Windows\System32\actxprxy.dll           7214a600           16          478
                  .text C:\Windows\System32\actxprxy.dll           721420f6            0          313
 unnamedImageEntryPoint C:\Windows\System32\actxprxy.dll           721113b6            2          165
        DllCanUnloadNow C:\Windows\System32\actxprxy.dll           72111247            1          170
 unnamedImageEntryPoint C:\Windows\system32\thumbcache.dll           68a504e7            2        24274
      DllGetClassObject C:\Windows\system32\thumbcache.dll           68a4638a            5      1118750
        DllCanUnloadNow C:\Windows\system32\thumbcache.dll           68a46379            1            4
                  .text C:\Windows\system32\thumbcache.dll           68a41000            0         2659
                  .orpc C:\Windows\System32\msshsq.dll           640a7000            0          702
      DllRegisterServer C:\Windows\System32\msshsq.dll           64098301            0        63632
        DllCanUnloadNow C:\Windows\System32\msshsq.dll           64077287            1       301934
      DllGetClassObject C:\Windows\System32\msshsq.dll           640738ae            6         8388
 unnamedImageEntryPoint C:\Windows\System32\msshsq.dll           640712fd           43       497093
                  .text C:\Windows\System32\msshsq.dll           64071000            0         2363
    DllUnregisterServer C:\Windows\system32\rsaenh.dll           74f5d5d3            0          665
